缺陷类型,编号,标题,状态,状态分类,优先级,处理人,负责人
固件缺陷,195763,【中枢网关】上报的ip为空,待回归,in_progress,普通,许林杰,胡晓岚
固件缺陷,195769,【中枢网关】已有中枢网关的情况下，添加aihubshow成为盲网关，应该为备中枢-- feedback：12193,待回归,in_progress,普通,许林杰,胡晓岚
固件缺陷,195771,【中枢网关】备中枢切换其他家庭，从网关变成盲网关再变成离线。应该一直显示为从网关-- feedback：12200,测试提交,to_do,普通,胡晓岚,胡晓岚
固件缺陷,195774,屏幕蓝屏,待回归,in_progress,最高,陈志禄,胡晓岚
固件缺陷,195775,【中枢网关】添加aihub show后，hub3、switch 2pm未成为从网关-- feedback：12559,测试提交,to_do,普通,陈建乐,胡晓岚
固件缺陷,195776,断电重新上电，Wi-Fi连接失败，且设备一直蓝屏,待回归,in_progress,普通,朱常青,胡晓岚
固件缺陷,195792,【添加】设备添加到账号下后，一段时间又恢复成未添加状态,待回归,in_progress,普通,许林杰,陈梓雄
固件缺陷,195793,【添加】固件添加时UI状态和App状态不一致（固件先跳到下一UI，App等待一段时间才成功）,待评审,in_progress,普通,朱常青,陈梓雄
固件缺陷,195794,【添加】固件进入添加状态时容易误触发音量设置,待回归,in_progress,普通,朱常青,陈梓雄
固件缺陷,195795,【添加】设备添加到账号下后，无法再通过长按按键进入添加状态,关闭,done,普通,陈梓雄,陈梓雄
固件缺陷,195837,【主页】首次添加进入主页，显示加载很久,待回归,in_progress,普通,许林杰,陈梓雄
固件缺陷,195838,【重置】长按自定义按键5s进入重置设备确认（预期长按15s）,下一版本修复,in_progress,普通,朱常青,陈梓雄
固件缺陷,195839,【状态栏】设备WiFi连接正常，但状态栏WiFi显示灰显,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195840,【屏幕设置】设备信息内容显示为空,关闭,done,普通,许林杰,陈梓雄
固件缺陷,195841,【按键】音量按键控制显示的侧边栏，未隐藏更多设置,回归通过,done,普通,张世鹏,陈梓雄
固件缺陷,195842,【动态】App账号已设置家庭位置，设备屏幕上显示无家庭定位,回归通过,done,普通,张世鹏,陈梓雄
固件缺陷,195843,【闪屏】设备初始化到添加引导页时，屏幕会闪烁几下,下一版本修复,in_progress,普通,朱常青,陈梓雄
固件缺陷,195845,【Matter】屏幕设置页Matter信息显示异常（提示网络连接失败，不显示配对二维码）,回归通过,done,较高,朱常青,陈梓雄
固件缺陷,195847,【亮度】屏幕亮度最低设置到0（预期设置范围1-100）,回归通过,done,普通,朱常青,陈梓雄
固件缺陷,195848,【重启】设备重新上电，秘钥会错误,回归通过,done,普通,朱常青,陈梓雄
固件缺陷,195849,【重启】设备重新上电，屏幕显示多余文案,待回归,in_progress,普通,朱常青,陈梓雄
固件缺陷,195851,【添加】设备进入添加状态时，配对时未限制其他操作，可以按键触发重置,待评审,in_progress,普通,朱常青,陈梓雄
固件缺陷,195852,【屏保】进入屏保显示的过程中会显示一张安卓的logo图片,测试提交,to_do,普通,朱常青,陈梓雄
固件缺陷,195854,【设备信息】未包含UX上显示的绑定手机、绑定邮箱、绑定第三方信息,回归通过,done,普通,彭玉林,陈梓雄
固件缺陷,195855,【主页】温湿度设备卡片的数据与App显示不一致（好像是少了温度小数位）,回归通过,done,普通,张世鹏,陈梓雄
固件缺陷,195856,【OTA】未配置固件升级，进入设备设置固件版本显示有新版本更新,下一版本修复,in_progress,普通,朱常青,陈梓雄
固件缺陷,195857,【壁纸】应用的壁纸与选择的壁纸显示不一致（可能是缩放比例问题）,下一版本修复,in_progress,普通,朱常青,陈梓雄
固件缺陷,195858,【组件】设置时间间隔的组件未预留顶部空间，容易误触到最上边的选项,回归通过,done,普通,朱常青,陈梓雄
